year,proportion,ngram
1806,0.0,legge di Zipf
1807,0.0,legge di Zipf
1808,0.0,legge di Zipf
1809,0.0,legge di Zipf
1810,0.0,legge di Zipf
1811,0.0,legge di Zipf
1812,0.0,legge di Zipf
1813,0.0,legge di Zipf
1814,0.0,legge di Zipf
1815,0.0,legge di Zipf
1816,0.0,legge di Zipf
1817,0.0,legge di Zipf
1818,0.0,legge di Zipf
1819,0.0,legge di Zipf
1820,0.0,legge di Zipf
1821,0.0,legge di Zipf
1822,0.0,legge di Zipf
1823,0.0,legge di Zipf
1824,0.0,legge di Zipf
1825,0.0,legge di Zipf
1826,0.0,legge di Zipf
1827,0.0,legge di Zipf
1828,0.0,legge di Zipf
1829,0.0,legge di Zipf
1830,0.0,legge di Zipf
1831,0.0,legge di Zipf
1832,0.0,legge di Zipf
1833,0.0,legge di Zipf
1834,0.0,legge di Zipf
1835,0.0,legge di Zipf
1836,0.0,legge di Zipf
1837,0.0,legge di Zipf
1838,0.0,legge di Zipf
1839,0.0,legge di Zipf
1840,0.0,legge di Zipf
1841,0.0,legge di Zipf
1842,0.0,legge di Zipf
1843,0.0,legge di Zipf
1844,0.0,legge di Zipf
1845,0.0,legge di Zipf
1846,0.0,legge di Zipf
1847,0.0,legge di Zipf
1848,0.0,legge di Zipf
1849,0.0,legge di Zipf
1850,0.0,legge di Zipf
1851,0.0,legge di Zipf
1852,0.0,legge di Zipf
1853,0.0,legge di Zipf
1854,0.0,legge di Zipf
1855,0.0,legge di Zipf
1856,0.0,legge di Zipf
1857,0.0,legge di Zipf
1858,0.0,legge di Zipf
1859,0.0,legge di Zipf
1860,0.0,legge di Zipf
1861,0.0,legge di Zipf
1862,0.0,legge di Zipf
1863,0.0,legge di Zipf
1864,0.0,legge di Zipf
1865,0.0,legge di Zipf
1866,0.0,legge di Zipf
1867,0.0,legge di Zipf
1868,0.0,legge di Zipf
1869,0.0,legge di Zipf
1870,0.0,legge di Zipf
1871,0.0,legge di Zipf
1872,0.0,legge di Zipf
1873,0.0,legge di Zipf
1874,0.0,legge di Zipf
1875,0.0,legge di Zipf
1876,0.0,legge di Zipf
1877,0.0,legge di Zipf
1878,0.0,legge di Zipf
1879,0.0,legge di Zipf
1880,0.0,legge di Zipf
1881,0.0,legge di Zipf
1882,0.0,legge di Zipf
1883,0.0,legge di Zipf
1884,0.0,legge di Zipf
1885,0.0,legge di Zipf
1886,0.0,legge di Zipf
1887,0.0,legge di Zipf
1888,0.0,legge di Zipf
1889,0.0,legge di Zipf
1890,0.0,legge di Zipf
1891,0.0,legge di Zipf
1892,0.0,legge di Zipf
1893,0.0,legge di Zipf
1894,0.0,legge di Zipf
1895,0.0,legge di Zipf
1896,0.0,legge di Zipf
1897,0.0,legge di Zipf
1898,0.0,legge di Zipf
1899,0.0,legge di Zipf
1900,0.0,legge di Zipf
1901,0.0,legge di Zipf
1902,0.0,legge di Zipf
1903,0.0,legge di Zipf
1904,0.0,legge di Zipf
1905,0.0,legge di Zipf
1906,0.0,legge di Zipf
1907,0.0,legge di Zipf
1908,0.0,legge di Zipf
1909,0.0,legge di Zipf
1910,0.0,legge di Zipf
1911,0.0,legge di Zipf
1912,0.0,legge di Zipf
1913,0.0,legge di Zipf
1914,0.0,legge di Zipf
1915,0.0,legge di Zipf
1916,0.0,legge di Zipf
1917,0.0,legge di Zipf
1918,0.0,legge di Zipf
1919,0.0,legge di Zipf
1920,0.0,legge di Zipf
1921,0.0,legge di Zipf
1922,0.0,legge di Zipf
1923,0.0,legge di Zipf
1924,0.0,legge di Zipf
1925,0.0,legge di Zipf
1926,0.0,legge di Zipf
1927,0.0,legge di Zipf
1928,0.0,legge di Zipf
1929,0.0,legge di Zipf
1930,0.0,legge di Zipf
1931,0.0,legge di Zipf
1932,0.0,legge di Zipf
1933,0.0,legge di Zipf
1934,0.0,legge di Zipf
1935,0.0,legge di Zipf
1936,0.0,legge di Zipf
1937,0.0,legge di Zipf
1938,0.0,legge di Zipf
1939,0.0,legge di Zipf
1940,0.0,legge di Zipf
1941,0.0,legge di Zipf
1942,0.0,legge di Zipf
1943,0.0,legge di Zipf
1944,0.0,legge di Zipf
1945,0.0,legge di Zipf
1946,0.0,legge di Zipf
1947,0.0,legge di Zipf
1948,1.2570241736398202e-08,legge di Zipf
